Name,Card Type,Card Sub-Type,Attribute,Monster Type,Class,Level,ATK,DEF,Card Text,Select Your Deck Here,Highest Playability
Howling Insect,Monster,Effect,Earth,Insect,,3,1200,1300,"When this card is destroyed and sent to the Graveyard as a result of battle, you can Special Summon 1 Insect-Type monster with an ATK of 1500 or less to your side of the field from your Deck. Then shuffle your Deck.",Select a deck above,Junk
Huge Revolution,Trap,Normal,,,,,,,"This card can only be activated during your Main Phase when People Running About,"" ""Oppressed People,"" and ""United Resistance"" are face-up on your side of the field. Send all cards in your opponent's hand to the Graveyard and destroy all cards your opponent controls on the field.""",Select a deck above,Junk
Human-Wave Tactics,Trap,Continuous,,,,,,,"During the End Phase of each turn, select a number of Level 2 or lower Normal Monsters from your Deck equal to the number of your Level 2 or lower Normal Monsters destroyed as a result of battle during that turn, and Special Summon them to your side of the field. The Deck is then shuffled.",Select a deck above,Junk
Humanoid Slime,Monster,Normal,Water,Aqua,,4,800,2000,This slime apparently has some human genes in its genetic makeup.,Select a deck above,Junk
Humanoid Worm Drake,Monster,Fusion,Water,Aqua,Normal,7,2200,2000,"""Worm Drake"" + Humanoid Slime""",Select a deck above,Junk
Hungry Burger,Monster,Ritual,Dark,Warrior,Normal,6,2000,1850,"This monster can only be Ritual Summoned with the Ritual Magic Card, ""Hamburger Recipe"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute form your Field or your hand.",Select a deck above,Junk
Hunter Spider,Monster,Normal,Earth,Insect,,5,1600,1400,This monster feeds on whatever it catches in its web.,Select a deck above,Junk
Hyena,Monster,Effect,Earth,Beast,,3,1000,300,"When this card is destroyed by battle and sent to the Graveyard: You can Special Summon any number of ""Hyenas"" from your Deck.",Select a deck above,Junk
Hyosube,Monster,Normal,Water,Aqua,,4,1500,900,"This amphibian is strong on the attack, but leaves much to be desired when defending.",Select a deck above,Junk
Hyozanryu,Monster,Normal,Light,Dragon,,7,2100,2800,A dragon created from a massive diamond that sparkles with blinding light.,Select a deck above,Junk
Hyper Hammerhead,Monster,Effect,Earth,Dinosaur,,4,1500,1200,"At the end of the Damage Step, if an opponent's monster that battled this monster is not destroyed: Return that opponent's monster to the hand.",Select a deck above,Junk
Hysteric Fairy,Monster,Normal,Light,Fairy,,4,1800,500,Tribute 2 monsters on your side of the field to increase your Life Points by 1000 points.,Select a deck above,Junk
Illusionist Faceless Mage,Monster,Normal,Dark,Spellcaster,,5,1200,2200,Manipulates enemy attacks with the power of illusion.,Select a deck above,Junk
Impenetrable Formation,Spell,Continuous,,,,,,,"Select 1 monster on your side of the field to activate this card. While you have 2 or more monsters on your side of the field, and all monsters on your side of the field are in Defense Position, increase the DEF of the selected monster by 700 points. When the selected monster is removed from the field, destroy this card.",Select a deck above,Junk
Inaba White Rabbit,Monster,Effect,Earth,Beast,Spirit,3,700,500,This card cannot be Special Summoned. This card returns to the owner's hand during the End Phase of the turn that this card is Normal Summoned or flipped face-up. This monster attacks your opponent's Life Points directly.,Select a deck above,Junk
Incandescent Ordeal,Spell,Ritual,,,,,,,"This card is used to Ritual Summon Legendary Flame Lord"". You must also Tribute monsters whose total Levels equal 7 or more from the field or your hand.""",Select a deck above,Junk
Infernal Flame Emperor,Monster,Effect,Fire,Pyro,,9,2700,1600,"This card cannot be Special Summoned. When this card is Tribute Summoned successfully, you can remove from play up to 5 FIRE monsters in your Graveyard. Destroy a number of Spell or Trap Cards on the field equal to the number of cards that you remove from play by this effect.",Select a deck above,Junk
Infernalqueen Archfiend,Monster,Effect,Fire,Fiend,,4,900,1500,"The controller of this card pays 500 Life Points during each of his/her Standby Phases (this is not optional). When this card is targeted by the effect of a card controlled by your opponent, when resolving the effect, roll a six-sided die. If the result is 2 or 5, negate the effect and destroy the opponent's card. As long as this card remains on the field, during each Standby Phase, increase the ATK of 1 Archfiend Monster Card by 1000 points until the End Phase.",Select a deck above,Junk
Inferno,Monster,Effect,Fire,Pyro,,4,1100,1900,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 FIRE monster in your Graveyard. When this card destroys an opponent's monster as a result of battle and sends it to the Graveyard, inflict 1500 points of damage to your opponent's Life Points.",Select a deck above,Junk
Inferno Fire Blast,Spell,Normal,,,,,,,"Target 1 face-up ""Red-Eyes B. Dragon"" you control; inflict damage to your opponent equal to its original ATK. ""Red-Eyes B. Dragon"" cannot attack the turn you activate this card.",Select a deck above,Junk
Inferno Hammer,Monster,Effect,Dark,Fiend,,6,2400,0,"When this card destroys your opponent's monster and sends it to the Graveyard as a result of battle, you can select 1 face-up monster on your opponent's side of the field and flip it into face-down Defense Position.",Select a deck above,Junk
Inferno Tempest,Spell,Quick-Play,,,,,,,"When you take 3000 or more Battle Damage from 1 attack, you can activate this card. Remove all monsters in each player's Deck and Graveyard from play.",Select a deck above,Junk
Infinite Cards,Spell,Continuous,,,,,,,"As long as this card remains face-up on the field, there is no limit to the number of cards in both player's hands.",Select a deck above,Junk
Infinite Dismissal,Trap,Continuous,,,,,,,Level 3 or lower monsters are destroyed during the End Phase of the turn that they are Normal Summoned or Flip Summoned.,Select a deck above,Junk
Injection Fairy Lily,Monster,Effect,Earth,Spellcaster,,3,400,1500,"If this card attacks or is attacked, during damage calculation (in either player's turn): You can pay 2000 Life Points once per battle; this card gains 3000 ATK during that damage calculation only.",Select a deck above,Borderline
Inpachi,Monster,Normal,Earth,Machine,,4,1600,1900,"A log that attacks lost travelers in the forest. Originally a big tree, it was cut down and possessed by a wicked spirit.",Select a deck above,Junk
Insect Barrier,Spell,Continuous,,,,,,,Your opponent's Insect-Type monsters cannot attack as long as this card remains face-up on the field.,Select a deck above,Junk
Insect Imitation,Spell,Normal,,,,,,,Offer 1 monster on your side of the field as a Tribute. Select 1 Insect-Type monster from your Deck that is 1 Level higher than the Tribute monster and Special Summon it on the field in face-up Attack Position or face-down Defense Position. The Deck is then shuffled,Select a deck above,Junk
Insect Knight,Monster,Normal,Earth,Insect,,4,1900,1500,"Of all Insect fighters, he is the paragon of the Indestructible Insect Invaders, which only the elite of the elite can join. We can no longer ignore their unmatched battle prowess.",Select a deck above,Junk
Insect Princess,Monster,Effect,Wind,Insect,,6,1900,1200,"While this card is face-up on the field, battle positions of all face-up Insect-Type monsters on your opponent's side of the field are changed into Attack Position. Each time this card destroys an Insect-Type monster as a result of battle, increase the ATK of this card by 500 points.",Select a deck above,Junk
Insect Queen,Monster,Effect,Earth,Insect,,7,2200,2400,"This card cannot declare an attack unless you Tribute 1 monster. This card gains 200 ATK for each Insect-Type monster on the field. During the End-Phase, if this card destroyed an opponent's monster by battle this turn: Special Summon 1 ""Insect Monster Token"" (Insect-Type/EARTH/Level 1/ATK 100/DEF 100) in Attack Position.",Select a deck above,Junk
Insect Soldiers of the Sky,Monster,Effect,Wind,Insect,,3,1000,800,The ATK of this card increases by 1000 points whenever it attacks a Wind monster.,Select a deck above,Junk
Inspection,Spell,Continuous,,,,,,,"During your opponent's Standby Phase, you can randomly select 1 card in your opponent's hand and look at it at the cost of 500 Life Points.",Select a deck above,Junk
Interdimensional Matter Transporter,Trap,Normal,,,,,,,Target 1 face-up monster you control; banish that target until the End Phase.,Select a deck above,Junk
Invader of Darkness,Monster,Effect,Dark,Fiend,,8,2900,2500,"While this card is face-up on the field, your opponent cannot activate Quick-Play Spell Cards.",Select a deck above,Junk
Invader of the Throne,Monster,Effect,Earth,Warrior,Flip,4,1350,1700,FLIP: Select 1 opponent's monster and switch control of it with this card. This effect cannot be activated during the Battle Phase.,Select a deck above,Junk
Invasion of Flames,Monster,Effect,Fire,Pyro,,3,1300,1200,"When this card is Normal Summoned successfully, no Trap Cards can be activated.",Select a deck above,Junk
Invigoration,Spell,Equip,,,,,,,An Earth monster equipped with this card increases its ATK by 400 and decreases its DEF by 200.,Select a deck above,Junk
Invitation to a Dark Sleep,Monster,Effect,Dark,Spellcaster,,5,1500,1800,"When this monster is summoned (excluding Special Summon), select 1 of your opponent's monsters. As long as this card remains face-up on the field, the selected monster cannot attack.",Select a deck above,Junk
Iron Blacksmith Kotetsu,Monster,Effect,Fire,Beast-Warrior,Flip,2,500,500,FLIP: Select 1 Equip Spell Card from your Deck and add it to your hand.,Select a deck above,Borderline
Island Turtle,Monster,Normal,Water,Aqua,,4,1100,2000,A huge turtle that is often mistaken for an island.,Select a deck above,Junk
Jade Insect Whistle,Spell,Normal,,,,,,,"Your opponent selects 1 Insect-Type Monster from their Deck. After shuffling the Deck, place the card on top of the Deck.",Select a deck above,Junk
Jam Breeding Machine,Spell,Continuous,,,,,,,"During each of your Standby Phases, Special Summon 1 Slime Token"" (Aqua-Type/WATER/LEVEL 1/ATK 500/DEF 500) in Attack Position. You cannot Summon any monsters, except ""Slime Tokens"" (but you can Set).",Select a deck above,Junk
Jam Defender,Trap,Continuous,,,,,,,"When an opponent's monster declares an attack on a monster you control: You can target 1 ""Revival Jam"" you control; switch the attack target to that target.",Select a deck above,Junk
Jar of Greed,Trap,Normal,,,,,,,Draw 1 card from your Deck.,Select a deck above,Optional
Jar Robber,Spell,Quick-Play,,,,,,,"You can only activate this card when Pot of Greed"" is activated. Negate the effect of the ""Pot of Greed"" and draw 1 card from your Deck.""",Select a deck above,Junk
Jellyfish,Monster,Normal,Water,Aqua,,4,1200,1500,"An almost invisible, semi-transparent jellyfish that drifts in the sea.",Select a deck above,Junk
Jigen Bakudan,Monster,Effect,Fire,Pyro,Flip,2,200,1000,"FLIP: After this card is flipped, offer it as a Tribute during your Standby Phase to destroy all monsters on your side of the Field and inflict Direct Damage equal to half of the total ATK of the destroyed cards (excluding this monster) to your opponent's Life Points.",Select a deck above,Junk
Jinzo,Monster,Effect,Dark,Machine,,6,2400,1500,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap Card effects on the field.",Select a deck above,Staple
Jinzo #7,Monster,Effect,Dark,Machine,,2,500,400,This monster can attack your opponent's Life Points directly.,Select a deck above,Junk
Jirai Gumo,Monster,Effect,Earth,Insect,,4,2200,100,"When you attack with this card, toss a coin and call it. If you call it right, attack normally. If you call it wrong, reduce your Life Points by half before attacking.",Select a deck above,Junk
Jowgen the Spiritualist,Monster,Effect,Light,Spellcaster,,3,200,1300,"Randomly discard 1 card from your hand to the Graveyard to destroy all Special Summoned monsters on the field. In addition, as long as this card remains face-up on the field, no monster can be Special Summoned.",Select a deck above,Junk
Jowls of Dark Demise,Monster,Effect,Water,Fiend,Flip,2,200,100,"FLIP: Take control of 1 monster on your opponent's side of the field until the end of the turn that this card's effect is activated. When the controlled monster attacks, it can attack your opponent's Life Points directly.",Select a deck above,Junk
Judge Man,Monster,Normal,Earth,Warrior,,6,2200,1500,This club-wielding warrior battles to the end and will never surrender.,Select a deck above,Junk
Judgment of Anubis,Trap,Counter,,,,,,,"Discard 1 card from your hand. Negate the activation and the effect of a Spell Card controlled by your opponent that has the effect of destroying Spell and/or Trap Card(s) on the field and destroy it. After that, you can destroy 1 face-up monster on your opponent's side of the field and inflict damage to your opponent equal to the ATK of the destroyed monster.",Select a deck above,Junk
Judgment of the Desert,Trap,Continuous,,,,,,,"The Battle Positions of face-up monsters that are flipped face-up after activation of this card cannot be changed, except with a card effect.",Select a deck above,Junk
Just Desserts,Trap,Normal,,,,,,,Inflict 500 points of damage to your opponent's Life Points for each monster on your opponent's side of the field.,Select a deck above,Optional
KA-2 Des Scissors,Monster,Effect,Dark,Machine,,4,1000,1000,"When this card destroys a monster and sends it to the Graveyard as a result of battle, inflict damage to your opponent's Life Points equal to the Level of the destroyed monster x 500 points.",Select a deck above,Junk
Kabazauls,Monster,Normal,Water,Dinosaur,,4,1700,1500,A huge monster in the shape of a hippopotamus. The sneezing from his gigantic body is so fierce that people mistake it for a hurricane.,Select a deck above,Junk
Kagemusha of the Blue Flame,Monster,Normal,Earth,Warrior,,2,800,400,"Serving as a double for the Ruler of the Blue Flame, he's a master swordsman that wields a fine blade.",Select a deck above,Junk
Kaibaman,Monster,Effect,Light,Warrior,,3,200,700,"You can Tribute this face-up card; Special Summon 1 ""Blue-Eyes White Dragon"" from your hand.",Select a deck above,Junk
Kaiser Colosseum,Spell,Continuous,,,,,,,"If there is 1 or more monster(s) on the field of the controller of this card, his/her opponent cannot place a monster on the field if his/her number of monsters would exceed the number of monsters that are on the field of this card's controller. The cards that are already on the field before this card's activation are unaffected by this effect.",Select a deck above,Junk
Kaiser Glider,Monster,Effect,Light,Dragon,,6,2400,2200,This card cannot be destroyed by battle with a monster that has the same ATK. When this card is destroyed and sent to the Graveyard; Target 1 monster on the field; return that target to the hand.,Select a deck above,Junk
Kaiser Sea Horse,Monster,Effect,Light,Sea Serpent,,4,1700,1650,This card can be treated as 2 Tributes for the Tribute Summon of a LIGHT monster.,Select a deck above,Junk
Kaminari Attack,Monster,Fusion,Wind,Thunder,Normal,5,1900,1400,"Ocubeam + ""Mega Thunderball""",Select a deck above,Junk
Kaminote Blow,Spell,Normal,,,,,,,"You can only activate this card if there is at least 1 face-up ""Chu-Ske the Mouse Fighter"", ""Monk Fighter"", or ""Master Monk"" on your side of the field. Destroy the monster(s) that battle with these monsters on your side of the field this turn, at the end of each Damage Step.",Select a deck above,Junk
Kangaroo Champ,Monster,Effect,Earth,Beast,,4,800,700,A monster that battles with this card is changed to Defense Position after damage calculation.,Select a deck above,Junk
Karate Man,Monster,Effect,Earth,Warrior,,3,1000,1000,"Once per turn, the original ATK of this card can be doubled. When this effect is applied, the card is immediately destroyed at the end of the turn.",Select a deck above,Junk
Karbonala Warrior,Monster,Fusion,Earth,Warrior,Normal,4,1500,1200,"M-Warrior #1 + ""M-Warrior #2""",Select a deck above,Junk
Kazejin,Monster,Effect,Wind,Spellcaster,,7,2400,2200,Reduce the ATK of an opponent's monster attacking this card to 0. This effect can be used only once. The card's owner chooses when to activate this effect.,Select a deck above,Junk
Kelbek,Monster,Effect,Earth,Fairy,,4,1500,1800,A monster that attacks this card returns to its owner's hand. Damage calculation is applied normally.,Select a deck above,Junk
Keldo,Monster,Effect,Earth,Fairy,,4,1200,1600,"When this card is destroyed and sent to the Graveyard as a result of battle, select 2 cards from your opponent's Graveyard, add them to your opponent's Deck and the Deck is then shuffled.",Select a deck above,Junk
Killer Needle,Monster,Normal,Wind,Insect,,4,1200,1000,A huge bee with exceptional strength that's particularly dangerous in a swarm.,Select a deck above,Junk
King Dragun,Monster,Fusion,Dark,Dragon,Effect,7,2400,1100,"Lord of D. + ""Divine Dragon Ragnarok""
As long as this card remains face-up on the field, your opponent cannot target Dragon-Type monsters for the effect of a Spell, Trap, or Monster Card. Once per turn, you can Special Summon 1 Dragon-Type monster from your hand to your side of the field.",Select a deck above,Staple
King Fog,Monster,Normal,Dark,Fiend,,3,1000,900,A fiend that dwells in a blinding curtain of smoke.,Select a deck above,Junk
King of the Skull Servants,Monster,Effect,Dark,Zombie,,1,?,0,"The original ATK of this card becomes the number of ""King of the Skull Servants"" and ""Skull Servant"" cards in your Graveyard x 1000. When this card is destroyed by battle and sent to the Graveyard, by removing from play 1 other ""King of the Skull Servants"" or ""Skull Servant"" card in your Graveyard, Special Summon this card.",Select a deck above,Junk
King of the Swamp,Monster,Effect,Water,Aqua,,3,500,1100,"You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s). Discard this card from your hand to the Graveyard to add a ""Polymerization"" from your Deck to your hand. The Deck is then shuffled.",Select a deck above,Junk
King of Yamimakai,Monster,Normal,Dark,Fiend,,5,2000,1530,Wields the power of darkness to destroy its enemies.,Select a deck above,Junk
King Tiger Wanghu,Monster,Effect,Earth,Beast,,4,1700,1000,When a monster(s) with 1400 or less ATK is Normal Summoned or Special Summoned: Destroy those monsters with 1400 or less ATK. This card must be face-up on the field to activate and to resolve this effect.,Select a deck above,Optional
Kiryu,Monster,Effect,Dark,Dragon,Union,5,2000,1500,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your Dark Blade"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, increase the ATK/DEF of the equipped monster by 900 points, and you can Tribute this card to allow the equipped monster to attack your opponent's Life Points directly this turn. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed as a result of battle, destroy this card instead.)""",Select a deck above,Junk
Kiseitai,Monster,Effect,Dark,Fiend,,2,300,800,"When your opponent's monster attacks this card in face-down Defense Position, this card becomes an Equip Spell Card equipped to the attacking monster (No damage calculation is conducted). During each of your opponent's Standby Phases, increase your Life Points by half of the ATK of the monster equipped with this card.",Select a deck above,Junk
Kishido Spirit,Spell,Continuous,,,,,,,Monsters on your side of the field cannot be destroyed in a battle if the monsters' ATK are equal.,Select a deck above,Junk
Knight's Title,Spell,Normal,,,,,,,"Activate this card by offering 1 face-up ""Dark Magician"" on your side of the field as a Tribute. Special Summon 1 ""Dark Magician Knight"" from your hand, Deck or Graveyard.",Select a deck above,Junk
Koitsu,Monster,Effect,Water,Fairy,Union,10,200,100,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your Aitsu"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, increase the ATK of the equipped monster by 3000 points. When it attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed as a result of battle, destroy this card instead.)""",Select a deck above,Junk
Kojikocy,Monster,Normal,Earth,Warrior,,4,1500,1200,A man-hunter with powerful arms that can crush boulders,Select a deck above,Junk
Kotodama,Monster,Effect,Earth,Fairy,,3,0,1600,"If there are face-up monsters with the same name on the field, destroy those monsters. (If a monster is Summoned or flipped face-up that has the same name as a monster that is already face-up on the field, the new face-up monster is destroyed. If they are Summoned or flipped face-up at the same time, they are all destroyed.)",Select a deck above,Junk
Koumori Dragon,Monster,Normal,Dark,Dragon,,4,1500,1200,"A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims.",Select a deck above,Junk
Kozaky,Monster,Normal,Dark,Fiend,,1,400,400,A workaholic fiend who devotes everything to his research into the languages of Dark World. His mind has collapsed because of working too hard.,Select a deck above,Junk
Kozaky's Self-Destruct Button,Trap,Normal,,,,,,,Inflict 1000 points of damage to the Life Points of the player who destroyed this Set card.,Select a deck above,Junk
Kryuel,Monster,Effect,Dark,Fiend,,4,1000,1700,"When this card is sent to the Graveyard as a result of battle, toss a coin and call it. If you call it right, destroy 1 monster on your opponent's side of the field.",Select a deck above,Junk
Kumootoko,Monster,Normal,Earth,Insect,,3,700,1400,"A massive, intelligent spider that traps enemies with webbing.",Select a deck above,Junk
Kurama,Monster,Normal,Wind,Winged Beast,,3,800,800,A vicious bird that attacks from the skies with its whip-like tail.,Select a deck above,Junk
Kuriboh,Monster,Effect,Dark,Fiend,,1,300,200,"During your opponent's Battle Phase, you can discard this card to reduce the Battle Damage you take from 1 of your opponent's attacking monsters to 0.",Select a deck above,Junk
Kuwagata Alpha,Monster,Normal,Earth,Insect,,4,1250,1000,A very vicious stag beetle that goes for the head.,Select a deck above,Junk
Kwagar Hercules,Monster,Fusion,Earth,Insect,Normal,6,1900,1700,"Kuwagata Alpha + ""Hercules Beetle""",Select a deck above,Junk
Kycoo the Ghost Destroyer,Monster,Effect,Dark,Spellcaster,,4,1800,700,When this card inflicts Battle Damage to your opponent: You can target up to 2 monsters in their Graveyard; banish those targets. Your opponent cannot banish cards from either player's Graveyard.,Select a deck above,Optional
La Jinn the Mystical Genie of the Lamp,Monster,Normal,Dark,Fiend,,4,1800,1000,A genie of the lamp that is at the beck and call of its master.,Select a deck above,Junk
Labyrinth of Nightmare,Trap,Continuous,,,,,,,"During the End Phase of each turn, change the Battle Positions of all face-up monsters on the turn player's side of the field.",Select a deck above,Junk
Labyrinth Tank,Monster,Fusion,Dark,Machine,Normal,7,2400,2400,"""Giga Tech Wolf"" + ""Cannon Soldier""",Select a deck above,Junk
Labyrinth Wall,Monster,Normal,Earth,Rock,,5,0,3000,These walls form a labyrinth with no exit for enemies.,Select a deck above,Junk
Lady Assailant of Flames,Monster,Effect,Fire,Pyro,Flip,4,1500,1000,FLIP: Remove 3 cards from the top of your Deck from play to inflict 800 points of Direct Damage to your opponent's Life Points.,Select a deck above,Junk
Lady Ninja Yae,Monster,Effect,Wind,Warrior,,3,1100,200,"By discarding 1 WIND monster from your hand to the Graveyard, return all Spell and Trap Cards on your opponent's side of the field to the owner's hand.",Select a deck above,Junk
Lady of Faith,Monster,Normal,Light,Spellcaster,,3,1100,800,Soothes the souls of others by chanting a mysterious spell.,Select a deck above,Junk
Lady Panther,Monster,Effect,Earth,Beast-Warrior,,4,1400,1300,Offer this face-up card as a Tribute to return 1 of your monsters destroyed in battle during this turn to the top of you Deck.,Select a deck above,Junk
Larvae Moth,Monster,Effect,Earth,Insect,,2,500,400,"This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by offering Petit Moth"" as a Tribute on the 2nd of your turns after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"".""",Select a deck above,Junk
Larvas,Monster,Normal,Earth,Beast,,3,800,1000,"A fast-moving, bird-like creature that strangles opposing monsters with its long, thin arms.",Select a deck above,Junk
Laser Cannon Armor,Spell,Equip,,,,,,,An Insect-Type monster equipped with this card increases its ATK and DEF by 300 points.,Select a deck above,Junk
Last Turn,Trap,Normal,,,,,,,"This card can only be activated during your opponent's turn when your Life Points are 1000 or less. Select 1 monster on your side of the field and send all other cards on the field and in their respective owner's hands to their respective Graveyards. After that, your opponent selects and Special Summons 1 monster from his/her Deck in face-up Attack Position and attacks your selected monster. (Any Battle Damage from this battle is treates as 0). The player whose monster reamins along on field at the End Phase of this turn wins the Duel. Any other case results in a DRAW.",Select a deck above,Junk
Last Will,Spell,Normal,,,,,,,"If a monster on your side of the field was sent to your Graveyard this turn, you can Special Summon 1 monster with an ATK of 1500 points or less from your Deck once during this turn. Then shuffle your Deck.",Select a deck above,Junk
Launcher Spider,Monster,Normal,Fire,Machine,,7,2200,2500,A mechanical spider with rocket launchers capable of random fire.,Select a deck above,Junk
Lava Battleguard,Monster,Effect,Earth,Warrior,,5,1550,1800,"This card gains 500 ATK for each ""Swamp Battleguard"" you control.",Select a deck above,Junk
Lava Golem,Monster,Effect,Fire,Fiend,,8,3000,2500,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's side of the field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. During each of the controller's Standby Phases: The controller takes 1000 damage.,Select a deck above,Junk
Left Arm of the Forbidden One,Monster,Normal,Dark,Spellcaster,,1,200,300,A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power.,Select a deck above,Junk
Left Leg of the Forbidden One,Monster,Normal,Dark,Spellcaster,,1,200,300,A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power.,Select a deck above,Junk
Legacy Hunter,Monster,Effect,Earth,Warrior,,4,1000,1500,"When this card attacks a face-down Defense Position monster and destroys it and sends it to the Graveyard as a result of battle, your opponent returns 1 random card from their hand to their Deck. Their Deck is then shuffled.",Select a deck above,Junk
Legendary Black Belt,Spell,Equip,,,,,,,"You can only equip this card to ""Chu-Ske the Mouse Fighter"", ""Monk Fighter"", or ""Master Monk"". When the equipped monster destroys your opponent's monster and sends it to the Graveyard as a result of battle, inflict damage to your opponent's Life Points equal to the DEF of the destroyed monster.",Select a deck above,Junk
Legendary Flame Lord,Monster,Ritual,Fire,Spellcaster,Effect,7,2400,2000,"This card can only be Ritual Summoned with the Ritual Spell Card, Incandescent Ordeal"". You must also Tribute monsters whose total Levels equal 7 or more from the field or your hand. Each time you or your opponent activates 1 Spell Card, put 1 Spell Counter on this card. Remove 3 Spell Counters from this card to destroy all monsters on the field except this card.""",Select a deck above,Junk
Legendary Jujitsu Master,Monster,Effect,Earth,Rock,,3,1300,1800,A monster that battles with this Defense Position card is returned to the top of its owner's Deck at the end of the Damage Step.,Select a deck above,Junk
Legendary Sword,Spell,Equip,,,,,,,A Warrior-Type monster equipped with this card increases its ATK and DEF by 300 points.,Select a deck above,Junk
Leghul,Monster,Effect,Earth,Insect,,1,300,350,This monster may attack your opponent's Life Points directly.,Select a deck above,Junk
Lekunga,Monster,Effect,Water,Plant,,4,1700,500,"You can banish 2 WATER monsters from your Graveyard: Special Summon 1 ""Lekunga Token"" (Plant-Type/WATER/Level2/ATK 700/DEF 700) in Attack Position.",Select a deck above,Junk
Leogun,Monster,Normal,Earth,Beast,,5,1750,1550,Huge monster with a lion's mane similar to the King of Beasts.,Select a deck above,Junk
Lesser Dragon,Monster,Normal,Wind,Dragon,,4,1200,1000,A minor dragon incapable of breathing fire.,Select a deck above,Junk
Lesser Fiend,Monster,Effect,Dark,Fiend,,5,2100,1000,"As long as this monster remains face-up on the field, monsters destroyed by this monster as a result of battle are removed from play instead of being sent to the Graveyard.",Select a deck above,Junk
Level Conversion Lab,Trap,Normal,,,,,,,"Select 1 monster in your hand and show it to your opponent, then roll a six-sided die. If the result is 1, send the selected monster to the Graveyard. If the result is 2-6, the Level of the selected monster becomes equal to the result until the End Phase of this turn.",Select a deck above,Junk
Level Limit - Area B,Spell,Continuous,,,,,,,All face-up Level 4 or higher monsters on the field are in Defense Position while this card is active.,Select a deck above,Optional
Level Up!,Spell,Normal,,,,,,,"Send 1 face-up ""LV"" monster on your side of the field to the Graveyard. Special Summon a monster from your hand or Deck that is written in the card text of the sent monster, ignoring any and all Summoning conditions.",Select a deck above,Junk
Levia-Dragon - Daedalus,Monster,Effect,Water,Sea Serpent,,7,2600,1500,"You can send 1 face-up ""Umi"" you control to the Graveyard; destroy all other cards on the field.",Select a deck above,Junk
Life Absorbing Machine,Trap,Continuous,,,,,,,"During your Standby Phase, gain Life Points equal to half of the total Life Points you paid during your last turn.",Select a deck above,Junk
Light of Intervention,Trap,Continuous,,,,,,,Monster Cards cannot be Set face-down. Monsters Set in Defense Position are Normal Summoned in face-up Defense Position.,Select a deck above,Optional
Light of Judgment,Trap,Normal,,,,,,,"Activate this card by discarding 1 LIGHT Monster Card from your hand to the Graveyard while The Sanctuary in the Sky"" is on the field. Select 1 card on the field controlled by your opponent or 1 card in your opponent's hand (you can look at your opponent's hand), and send it to the Graveyard.""",Select a deck above,Junk
Lighten the Load,Spell,Continuous,,,,,,,"Add 1 Level 7 or higher monster from your hand to your Deck and shuffle it, then draw 1 card. You can only use this effect once per turn.",Select a deck above,Junk
Lightforce Sword,Trap,Normal,,,,,,,"Select 1 random card from your opponent's hand and remove it from play face-down. During your opponent's 4th Standby Phase after this card's activation, return that card to their hand.",Select a deck above,Junk
Lightning Blade,Spell,Equip,,,,,,,You can only equip this card to a Warrior-Type monster. Increase the ATK of the equipped monster by 800 points and decrease the ATK of all WATER monsters on the field by 500 points.,Select a deck above,Junk
Lightning Conger,Monster,Normal,Water,Thunder,,3,350,750,This massive eel generates huge charges of electricity and unleashes them as thunderbolts.,Select a deck above,Junk
Lightning Vortex,Spell,Normal,,,,,,,Discard 1 card. Destroy all face-up monsters your opponent controls.,Select a deck above,Optional
Limiter Removal,Spell,Quick-Play,,,,,,,"Double the ATK of all Machine-Type monsters you controlled at both the activation and resolution of this card, until the End Phase. During the End Phase, destroy those monsters.",Select a deck above,Junk
Liquid Beast,Monster,Normal,Water,Aqua,,3,950,800,A liquid life form that thrives on water.,Select a deck above,Junk
Little Chimera,Monster,Effect,Fire,Beast,,2,600,550,"As long as this card remains face-up on the field, increase the ATK of all FIRE monsters by 500 points and decrease the ATK of all WATER monsters by 400 points.",Select a deck above,Junk
Little-Winguard,Monster,Effect,Wind,Warrior,,4,1400,1800,"Once per turn, during your End Phase. You can change the battle position of this card.",Select a deck above,Junk
